id,name,lat,lon
0,"ПНЗ №1 - Бишкек","42.870248","74.587649"
1,"ПНЗ №2 - Бишкек","42.860434","74.527283"
2,"ПНЗ №3 - Бишкек","42.884026","74.646823"
3,"ПНЗ №4  - Бишкек","42.884889","74.616306"
4,"ПНЗ №5 - Бишкек","42.831369","74.616678"
5,"ПНЗ №6  - Бишкек","42.873522","74.542582"
6,"ПНЗ №7  - Бишкек","42.929386","74.611189"
7,"Автоматическая станция","42.860728","74.525031"
8,"ПНЗ №2 - Ош","40.528744","72.794591"
9,"ПНЗ №1 - Кара-Балта","42.815129","73.845075"
10,"ПНЗ №2 - Кара-Балта","42.824143","73.843816"
11,"ПНЗ №1 - Токмок","42.837471","75.290124"
12,"ПНЗ №2 - Токмок","42.842322","75.292749"
13,"ПНЗ №1 - Чолпон-Ата","42.647292","77.080018"
14,"ПНЗ №2 - Чолпон-Ата","42.636874","77.067355"
15,"Станция по мониторингу за парниковыми газами","42.636874","77.067355"
